PD_NO,PD_EXG_MKT,PD_NM,PD_ABRV_NM,PD_ENG_NM,PD_ABRV_ENG_NM,PD_CTRY_CD,PD_PBCM,STD_PD_MCLS_NM,STD_PD_SCLS_NM,BD_KND,CURR_CD,ISU_BAL_AMT,ISU_DT,MAT_DT,SRFC_IRT,PD_EVCO_CRD_GRD,PD_RISK_GCD,PD_STD_INFO_UPDATE,BUY_YIELD,CORP_PRETAX_YIELD,CORP_AFTER_TAX_YIELD,AFTER_TAX_YIELD,PREF_TAX_YIELD,AVG_ANNUAL_TAX_YIELD,DEPO_EQUIV_YIELD_154,BUYABLE_QUANTITY,REMAINING_DAYS,DUR,COV,NDY_DUR,NDY_COV,EVAL_PRICE,APPLIED_YIELD,DIRTY,NDY_EVAL_PRICE,NDY_APPLIED_YIELD,NDY_DIRTY,CRD_GRD,CRD_GRD_DT
KR6068603C66,장외,웰텍19-3(PCBO사모),웰텍19-3                                ,WELTECH19-3                                                                     ,WELTECH19-3                             ,KR,웰텍(주)                            ,회사채,일반사채,일반회사채                    ,KRW,1500000000,20220628,20250628,7.109,,1
KR6037761F82,장외,쎄니트11(PCBO사모/콜),쎄니트11                                ,CENIT11                                                                         ,CENIT11                                 ,KR,(주)쎄니트                          ,회사채,일반사채,일반회사채                    ,KRW,1680000000,20250828,20270828,4.569,,1
KR6447391CA0,장외,비지엠1(PCBO사모/콜),비지엠1                                 ,BGM1                                                                            ,BGM1                                    ,KR,(주)비지엠                          ,회사채,일반사채,일반회사채                    ,KRW,500000000,20221026,20251026,6.513,,1
KR6338671C94,장외,진명스틸2(PCBO사모/콜),진명스틸2                               ,JINMYOUNG STEEL2                                                                ,JINMYOUNG STEEL2                        ,KR,(주)진명스틸                        ,회사채,일반사채,일반회사채                    ,KRW,2000000000,20220929,20250929,6.164,,1
KR380802G576,장내,한국수출입금융(구조) 1507라-이표-15(콜/변),한국수출입금융(구조)1507라-이표-15(콜),THE EXPORTIMPORT BANK OF KOREA(STR)1507D-COUP-15(C),KOREA EXIM BANK(STR)1507D-COUP-15(C),KR,한국수출입은행,특수채,특수은행채,특수은행채,KRW,0,20150721,20160721,3.45,"AAA, AAA, AAA",6
KR6351691EA3,장외,씨엠텍2(PCBO사모/콜),씨엠텍2                                 ,cmtech2                                                                         ,cmtech2                                 ,KR,(주)씨엠텍                          ,회사채,일반사채,일반회사채                    ,KRW,2500000000,20241028,20271028,3.698,,1
KR6205492DC2,장내,하나카드 252-2,하나카드252-2                           ,KEB HANA CARD252-2                                                              ,KEB HANA CARD252-2                      ,KR,하나카드(주)                        ,회사채,일반사채,신용카드채                    ,KRW,40000000000,20231211,20261210,4.148,"AA, AA, AA",5,20260224,,,,,,,,,289,0.7682,0.7821,0.7665999999999999,0.7771,10175.67,2.996,10175.67,10176.52,2.996,10176.52,AA0,20231211
KR6023763EA8,장내,한국캐피탈536-3,한국캐피탈536-3                         ,HAN KOOK CAPITAL536-3                                                           ,HAN KOOK CAPITAL536-3                   ,KR,한국캐피탈(주)                      ,회사채,일반사채,시설대여채(리스)              ,KRW,50000000000,20241025,20261023,4.846,"A, A, A",4,20260224,,,,,,,,,241,0.649,0.5758,0.6475,0.5703,10095.94,3.989,10095.94,10097.05,3.989,10097.05,A0,20241025
KR6104771E71,장외,아이비케이투자증권 신종자본증권 1(사모/콜/후),아이비케이투자증권신종자본증권 1        ,IBK SECURITIESHYBRID BOND 1                                                     ,IBK SECURITIESHYBRID BOND 1             ,KR,아이비케이투자증권(주)              ,회사채,일반사채,투자매매.중개채               ,KRW,100000000000,20240711,20540711,5.7,"A, A",1,20260224,,,,,,,,,10364,8.6389,197.5927,8.637600000000001,197.5364,10069.89,5.7,10069.89,10071.16,5.7,10071.16,A0,20241004
KR6095924F35,장내,현대커머셜 546-1,현대커머셜546-1                         ,HYUNDAI COMMERCIAL546-1                                                         ,HYUNDAI COMMERCIAL546-1                 ,KR,현대커머셜(주)                      ,회사채,일반사채,할부금융채                    ,KRW,40000000000,20250314,20270312,2.933,"AA-, AA-, AA-",5,20260224,,,,,,,,,381,1.0165,1.288,1.0151,1.2816,10031.48,3.198,10031.48,10032.36,3.198,10032.36,AA-,20250314
KR6162581F94,장외,대일랩서비스7(PCBO사모/콜),대일랩서비스7                           ,DAEIL LAB SERVICE7                                                              ,DAEIL LAB SERVICE7                      ,KR,(주)대일랩서비스                    ,회사채,일반사채,일반회사채                    ,KRW,310000000,20250929,20270929,6.544,,1,20250929,,,,,,,,,730,,,,,10000,6.544,,,,,,20250929
KR6192761E60,장외,파라1(PCBO사모/콜),파라1                                   ,PARA MEMBRANES1                                                                 ,PARA MEMBRANES1                         ,KR,(주)파라                            ,회사채,일반사채,일반회사채                    ,KRW,2000000000,20240619,20270619,5.553,,1
KR6019803D90,장내,하나캐피탈 401-3,하나캐피탈401-3                         ,HANA CAPITAL401-3                                                               ,HANA CAPITAL401-3                       ,KR,하나캐피탈(주)                      ,회사채,일반사채,할부금융채                    ,KRW,40000000000,20230907,20250905,4.652,"AA-, AA-, AA-",5,20250908,,,,,,,,,0,0,0,0,0,10114.7,2.514,10114.7,0,0,0,AA-,20250812
KR6014791EB8,장외,에이치엘디앤아이한라146(사모),에이치엘디앤아이한라146                 ,HL D&I HALLA146                                                                 ,HL D&I HALLA146                         ,KR,에이치엘디앤아이한라(주)            ,회사채,일반사채,일반회사채                    ,KRW,5000000000,20241126,20251126,7.1,,1,20241126,,,,,,,,,365,,,,,10000,7.1,,,,,,20241126
KR6097243E10,장내,엔에이치농협캐피탈227-3,엔에이치농협캐피탈227-3                 ,NH Capital227-3                                                                 ,NH Capital227-3                         ,KR,엔에이치농협캐피탈(주)              ,회사채,일반사채,할부금융채                    ,KRW,40000000000,20240126,20260126,4.185,"AA-, AA-, AA-",5,20260127,,,,,,,,,0,0,0,0,0,10104.62,2.787,10104.62,0,0,0,AA-,20260114
KR3507027182,장내,한국도로공사530,도로공사530                             ,KOREA EXPRESSWAY530                                                             ,KOREA EXPRESSWAY530                     ,KR,한국도로공사                        ,특수채,공사채,일반특수법인채                ,KRW,200000000000,20110823,20310823,4.27,"AAA, AAA",6,20260224,,,,,,,,,2006,4.8984,27.7158,4.9037,27.6936,10292.88,3.679,10292.88,10293.91,3.679,10293.91,AAA,20111220
KR6128221F34,장외,신화철강7(PCBO사모/콜),신화철강7                               ,SINHWA STEEL7                                                                   ,SINHWA STEEL7                           ,KR,신화철강(주)                        ,회사채,일반사채,일반회사채                    ,KRW,2180000000,20250327,20270327,5.93,,1,20250327,,,,,,,,,730,,,,,10000,5.93,,,,,,20250327
KR354413GA64,장내,한국주택금융공사 MBS2020-19(1-4)(사)(콜),주택금융공사MBS2020-19(1-4)(사)         ,Korea Housing Finance CorporationMBS2020-19(1-4)(S)                             ,KHFCMBS2020-19(1-4)(S)                  ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,410000000000,20200616,20250616,1.606,AAA,6,20250617,,,,,,,,,0,0,0,0,0,10040.15,2.481,10040.15,0,0,0,AAA,20240806
KR354408GA53,장내,한국주택금융공사 MBS2020-13(1-8)(사)(콜),주택금융공사MBS2020-13(1-8)(사)         ,Korea Housing Finance CorporationMBS2020-13(1-8)(S)                             ,KHFCMBS2020-13(1-8)(S)                  ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,20000000000,20200512,20400512,1.776,AAA,6,20260224,,,,,,,,,5191,11.949,160.2808,11.8701,158.2453,7771.57,3.82,7771.57,7772.4,3.82,7772.4,AAA,20200512
KR6033663EB6,장내,우리금융캐피탈514-3,우리금융캐피탈514-3                     ,WOORI FINANCIAL CAPITAL514-3                                                    ,WOORI F CAPITAL514-3                    ,KR,우리금융캐피탈(주)                  ,회사채,일반사채,할부금융채                    ,KRW,50000000000,20241105,20270504,3.475,"AA-, AA-, AA-",5,20260224,,,,,,,,,434,1.1591,1.634,1.1578,1.6266,10047.38,3.225,10047.38,10048.29,3.225,10048.29,AA-,20241105
