bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prfd_attr_cd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm
MSCI EUROPE SMALL CAP,MSCI EUROPE SMALL CAP,KRW,Y,000,유럽,10.81,0.64,1.70,1.63,752707442.0000,10,-0.62,1.55,6.60,16.87,2.94,0,0010173C5751,0,배당,삼성아문디유럽중소형자(H)(주식재간접)Cp,,삼성아문디유럽중소형증권자투자신탁(H)[주식-재간접형]_CP,삼성아문디유럽중소형증권자투자신탁(H)[주식-재간접형]_Cp,KR5114490195,16123A12060241113ZZB,KRZ501977029,01MA300,0,재간접,00040010,해외,해당없음,00,D102,해당없음,공모,0302001MA300,판매중,K55105B70437,Y,00020088,2,높은 위험
KOSPI Mid&SmallCap Index,중소형지수,KRW,,000,국내,133.07,-10.15,1.77,26.82,29133210252.0000,10,10.42,70.68,104.07,128.40,125.37,0,0011910C0173,0,배당,현대인베하이킥중소형자투신1(주식)C-e,,현대인베스트먼트하이킥중소형증권자투자신탁1호(주식)C-e,현대인베스트먼트하이킥중소형증권자투자신탁1호(주식)C-e,KR515402017M,12113612001011113112,KRZ501690347,20077,0,주식형,00080032,국내,해당없음,00,C103,해당없음,공모,034400020070,판매중,KR5239A13739,Y,00020081,2,높은 위험
채권종합지수 1~2Y,종합채권 1~2년,KRW,,000,국내,,,,,14250454880.0000,20,,,,,,0,0010198C8142,0,배당,KB K-성장과지배구조30목표전환(채혼)C퇴직,,KB K-성장과 지배구조 30 목표전환 증권 투자신탁(채권혼합) C-퇴직,KB K-성장과 지배구조 30 목표전환 증권 투자신탁(채권혼합) C-퇴직,KR5127430106,14111A320600121ZZZZ4,KRZ50267380B,0003640,0,채권혼합,00040035,국내,해당없음,00,D102,해당없음,공모,030230003640,판매중,K55223EV6767,,00020088,NULL,
MSCI CHINA A(Local),MSCI CHINA A(로컬),KRW,N,000,아시아,,,,,1132808091.0000,10,,,,,,0,0010181C1967,0,배당,미래에셋차이나스페셜본토주식자(주식)A,,미래에셋차이나스페셜본토주식증권자투자신탁[주식]종류A,미래에셋차이나스페셜본토주식증권자투자신탁[주식]종류A,KR5110450080,1212321210125110120B,KRZ500624291,0262101,0,주식형,00080008,해외,해당없음,00,C101,해당없음,공모,031910262101,판매완료,KR5205190238,Y,00020004,NULL,
KRX 300,KRX 300,KRW,,000,국내,276.70,3.26,54.84,117.31,18423110947.0000,10,9.09,219.66,232.06,269.48,207.26,0,0010173C7709,0,배당,삼성KRX300인덱스투자(주식파생)CP,,삼성KRX300인덱스증권투자신탁[주식-파생형]_C-P,삼성KRX300인덱스증권투자신탁[주식-파생형]_C-P,KR5114470144,12211A12036017111ZZ2,KRZ50221242B,02MF150,0,06,00040010,국내,개인,00,G110,해당없음,공모,0302002MF150,판매중,K55105C60915,Y,00020081,2,높은 위험
CSI_500_LOCAL,CSI_500_LOCAL,KRW,N,000,글로벌,93.83,-3.05,12.65,36.09,20619583293.0000,10,-2.02,104.21,126.48,102.75,74.48,0,0010173C5165,0,배당,삼성중국중소형FOCUS자투자UH(주식)Ae,,SAMSUNG CHINA A-SHARE MID-SMALL CAP FOCUS FUND UH(EQUITY)Ae,삼성중국본토중소형FOCUS증권자투자신탁UH(주식)Ae,KR510502094M,12123612001171101261,KRZ501898062,2MG902,0,주식형,00040010,해외,해당없음,00,M111,해당없음,공모,0302002MG900,판매중,KR5105AR7521,Y,00020004,2,높은 위험
KAP Treasury 02Y 90%,국공채02Y 90%,KRW,N,000,국내,-11.18,-1.40,-4.39,-7.58,30978510619.0000,10,1.31,-11.19,-3.67,4.48,-5.61,0,0010198C2348,0,배당,KB장기국채플러스증권자(채권)CE,,KB L.T G.B PLUS SECURITIES FEEDER FUND(BOND) C-E CLASS,KB 장기국채 플러스 증권 자투자신탁(채권) C-E 클래스,KR5127420086,11113612049013224ZZ5,KRZ502080604,0001F11,0,채권형,00040035,국내,해당없음,00,V101,해당없음,공모,030230001F11,판매중,K55223BG6116,Y,00020020,4,보통 위험
MSCI ACWI,MSCI ACWI,KRW,N,000,글로벌,189.98,-4.94,33.54,72.00,222188461617.0000,10,4.48,169.91,208.41,232.64,257.55,0,0010189C3062,0,배당,한화그린히어로증권자(주식)C-P(연금),,한화그린히어로증권 자투자신탁(주식) C-P(연금저축),한화그린히어로증권 자투자신탁(주식) C-P(연금저축),KR5129450183,12123412036021511ZZ2,KRZ502434858,0169501,0,주식형,00040027,해외,개인,00,C101,해당없음,공모,030220169501,판매중,K55213DB5972,Y,00020027,1,매우 높은 위험
MSCI BRAZIL,MSCI BRAZIL,KRW,N,000,남미/북미,,,,,0.0000,10,,,,,,0,0010181C1396,0,배당,미래에셋삼바브라질자(주식)C2,,미래에셋삼바브라질증권자투자신탁 [주식]C2,미래에셋삼바브라질증권자투자신탁 [주식]C2,KR5110651025,1212341230112110123A,KRZ500385383,0263021,0,주식형,00080008,해외,해당없음,00,M111,해당없음,공모,031910263021,판매중,KR5205759925,Y,00020081,2,높은 위험
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,4.28,2.12,-0.17,-1.87,17830297231.0000,10,-0.28,8.66,-0.04,11.83,10.83,0,0011973C0350,0,배당,iM에셋월드헬스사이언스[주식-재간접]Ae,,IM ASSET WORLD HEALTHSCIENCE-F(A-E),iM에셋월드헬스사이언스증권투자신탁(주식-재간접형)(A-e),KR5181490196,1612161200102150118C,KRZ501989352,061612,0,재간접,00080035,해외,해당없음,00,O117,해당없음,공모,033750061610,판매중,K55366B29118,Y,00020054,3,다소 높은 위험
